date,deaths_new,deaths_bid,deaths_new_dod,deaths_bid_dod,deaths_unvax,deaths_pvax,deaths_fvax,deaths_boost,deaths_tat
2021/3/27,2,2,8,1,8,0,0,0,5
2021/3/28,4,0,4,0,3,1,0,0,1
2021/3/29,5,0,4,2,4,0,0,0,2
2021/3/30,4,0,6,0,6,0,0,0,2
2021/3/31,8,1,9,2,9,0,0,0,2
2021/4/1,6,2,3,0,3,0,0,0,1
2021/4/2,5,1,2,0,2,0,0,0,2
2021/4/3,3,1,5,0,5,0,0,0,2
2021/4/4,2,0,6,0,6,0,0,0,1
2021/4/5,7,0,4,1,4,0,0,0,4
2021/4/6,5,0,3,1,3,0,0,0,2
2021/4/7,4,0,2,0,2,0,0,0,1
2021/4/8,4,0,6,3,6,0,0,0,2
2021/4/9,5,2,7,2,7,0,0,0,13
2021/4/10,8,0,3,1,3,0,0,0,3
2021/4/11,8,1,6,3,6,0,0,0,36
2021/4/12,4,1,11,0,11,0,0,0,1
2021/4/13,12,5,5,1,5,0,0,0,2
2021/4/14,8,0,5,0,5,0,0,0,1
2021/4/15,10,1,4,0,4,0,0,0,1
2021/4/16,2,0,6,0,6,0,0,0,49
2021/4/17,5,0,11,2,11,0,0,0,4
2021/4/18,8,0,8,3,8,0,0,0,2
2021/4/19,8,0,10,3,10,0,0,0,1
2021/4/20,3,0,10,2,10,0,0,0,1
2021/4/21,11,3,9,1,9,0,0,0,2
2021/4/22,7,0,6,3,6,0,0,0,2
2021/4/23,8,3,15,4,15,0,0,0,3
2021/4/24,11,2,8,3,8,0,0,0,2
2021/4/25,10,0,21,2,21,0,0,0,2
2021/4/26,13,2,14,1,14,0,0,0,1
2021/4/27,13,2,11,2,11,0,0,0,2
2021/4/28,15,3,14,2,14,0,0,0,2
2021/4/29,15,3,22,3,22,0,0,0,3
2021/4/30,14,3,21,1,21,0,0,0,1
2021/5/1,15,0,16,4,16,0,0,0,2
2021/5/2,12,2,20,6,20,0,0,0,1
2021/5/3,18,0,23,1,21,2,0,0,3
2021/5/4,23,2,14,1,14,0,0,0,2
2021/5/5,17,2,31,5,30,1,0,0,2
2021/5/6,19,4,28,4,27,1,0,0,1
2021/5/7,22,3,31,4,31,0,0,0,1
2021/5/8,25,4,29,3,27,2,0,0,2
2021/5/9,26,4,21,2,21,0,0,0,2
2021/5/10,17,0,35,3,34,1,0,0,1
2021/5/11,22,2,44,2,44,0,0,0,2
2021/5/12,39,3,50,4,49,1,0,0,2
2021/5/13,27,3,38,2,36,2,0,0,2
2021/5/14,34,2,45,6,44,1,0,0,2
2021/5/15,44,0,48,9,46,2,0,0,2
2021/5/16,36,1,44,2,40,4,0,0,1
2021/5/17,45,3,51,7,48,3,0,0,2
2021/5/18,47,8,58,7,54,4,0,0,2
2021/5/19,46,5,53,10,50,3,0,0,2
2021/5/20,59,7,46,5,44,2,0,0,2
2021/5/21,50,3,61,8,60,1,0,0,2
2021/5/22,50,10,85,7,81,4,0,0,2
2021/5/23,49,6,69,9,65,4,0,0,2
2021/5/24,61,5,66,8,63,3,0,0,1
2021/5/25,60,4,74,6,71,3,0,0,1
2021/5/26,63,8,91,8,84,7,0,0,2
2021/5/27,59,3,63,8,57,6,0,0,2
2021/5/28,61,3,105,13,102,3,0,0,2
2021/5/29,98,9,75,2,74,1,0,0,2
2021/5/30,79,8,109,14,103,6,0,0,2
2021/5/31,67,8,97,11,90,7,0,0,1
2021/6/1,71,5,94,10,86,8,0,0,2
2021/6/2,126,10,87,9,85,2,0,0,3
2021/6/3,103,9,110,5,107,3,0,0,2
2021/6/4,86,7,83,7,80,3,0,0,1
